experiment_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,misclassified_samples,epochs_trained,training_time_seconds,trainable_parameters,non_trainable_parameters
lstm_glove_twitter_50_small_regularized_weighted_lemmatized,0.8400242081904378,0.6918265846427497,0.8250968090038685,0.7218029482758466,0.8642410610129218,793,11,130.25829236700156,1011203,0
lstm_glove_wiki_50_small_regularized_weighted_lemmatized,0.8339721605809965,0.6821917940158583,0.8228404587327521,0.7154633385239166,0.8578912551236434,823,9,104.72055241999988,1011203,0
lstm_small_regularized_weighted_lemmatized,0.8180351018761347,0.6574023817240103,0.7742563209959131,0.686156074681285,0.8422201392473982,902,7,86.142426522998,1292995,0
bilstm_weighted_lemmatized,0.8093605003026024,0.6538088393264164,0.7836759923981473,0.6837353464970072,0.8355173647956673,945,5,20.2118814150017,2663043,0
lstm_weighted_lemmatized,0.7996772241274964,0.6604339179754265,0.7852448456689111,0.6815397092871455,0.8307112274822326,993,5,16.220681562997925,2611587,0
lstm_weighted_lemmatized_dropout,0.8113778495057494,0.6536076941249618,0.7640454090657934,0.6792343266948037,0.8362958032728534,935,6,20.041327982999064,2611587,0
simple_rnn_weighted_lemmatized,0.8103691749041759,0.6433469121139986,0.7540420242917604,0.6701768272910881,0.835792851482058,940,4,25.193455307002296,2574531,0
simple_rnn_weighted_stemmed,0.8065362114181965,0.6506287889780761,0.751205616403702,0.667713726156364,0.8377856657688625,959,4,25.67231409300075,2574531,0
simple_rnn_lemmatized,0.886624974783135,0.5669720130821191,0.5997724780375934,0.5829067583123478,0.8601939938699392,562,4,24.060275044001173,2574531,0
simple_rnn_stemmed,0.8872301795440791,0.5694300793942887,0.5962733191244189,0.5824656203878456,0.8604786692751585,559,4,27.61794750199988,2574531,0
