rank,label,accuracy,macro_f1,disk_size_mb,trainable_parameters
1,Deep + Aug.,1.0,1.0,99.8529281616211,8717349
2,Deep + Aug. + Drop.,0.9983402490615844,0.997675654265441,99.8615369796753,8717349
3,Baseline,0.9970954060554504,0.995251893740179,97.5973539352417,8523589
4,Baseline + Aug.,0.996680498123169,0.9951998328030222,97.60737419128418,8523589
5,MobileNetV2 FT,0.9962655305862428,0.9935508207205712,23.24442768096924,1677701
6,MobileNetV2 FE,0.9950207471847534,0.9912504475639216,12.950933456420898,329221
7,Baseline + CW,0.9946057796478271,0.9925827970076652,97.59736347198486,8523589
8,Deep + Aug. + BN,0.9946057796478271,0.9925540913481667,99.89975166320801,8718245
9,Deep + Aug. + BN + Drop.,0.9809128642082214,0.965852139016808,99.90769672393799,8718245
